time,alpha,beta,gamma,delta
5.380,-0.6642,-0.4746,-0.2024,0.2694
5.390,-0.6971,-0.4294,-0.2672,0.2757
5.400,-0.6455,-0.3907,-0.2339,0.3372
5.410,-0.6408,-0.3953,-0.2681,0.3750
5.420,-0.6344,-0.3088,-0.2545,0.3973
5.430,-0.6389,-0.2952,-0.3071,0.4954
5.440,-0.7239,-0.3120,-0.3017,0.4617
5.450,-0.6987,-0.2965,-0.3031,0.5485
5.460,-0.7579,-0.3003,-0.3285,0.5653
5.470,-0.7048,-0.3246,-0.3206,0.5341
5.480,-0.7551,-0.4292,-0.3551,0.5889
5.490,-0.7993,-0.4669,-0.3018,0.5808
5.500,-0.7993,-0.5728,-0.3296,0.6559
5.510,-0.8371,-0.6377,-0.2982,0.5889
5.520,-0.8478,-0.7286,-0.2900,0.6088
5.530,-0.8406,-0.7825,-0.2977,0.5936
5.540,-0.8689,-0.8129,-0.3012,0.5593
5.550,-0.8695,-0.7970,-0.2974,0.5791
5.560,-0.8776,-0.7794,-0.2711,0.5624
5.570,-0.8969,-0.7685,-0.2484,0.5226
5.580,-0.8522,-0.7010,-0.2615,0.5114
5.590,-0.8726,-0.6381,-0.2000,0.4872
5.600,-0.8102,-0.6219,-0.2311,0.4297
5.610,-0.8483,-0.5157,-0.2093,0.4252
5.620,-0.8012,-0.4517,-0.2029,0.3811
5.630,-0.7845,-0.3997,-0.1617,0.3649
5.640,-0.7830,-0.3753,-0.1277,0.3146
5.650,-0.7267,-0.3521,-0.1453,0.2470
5.660,-0.7222,-0.3273,-0.0805,0.2047
5.670,-0.6716,-0.3588,-0.0940,0.2560
5.680,-0.6453,-0.3689,0.0018,0.1743
5.690,-0.6270,-0.3944,-0.0518,0.1640
5.700,-0.5875,-0.4483,0.0064,0.1243
5.710,-0.5398,-0.4931,0.0013,0.1126
5.720,-0.5425,-0.5681,0.0674,0.1077
5.730,-0.5127,-0.5885,0.0618,0.1361
5.740,-0.4700,-0.6057,0.0730,0.1159
5.750,-0.4756,-0.5706,0.0982,0.0779
5.760,-0.4475,-0.5327,0.1602,0.1092
5.770,-0.4554,-0.4574,0.1854,0.1065
5.780,-0.4596,-0.4104,0.1517,0.1692
5.790,-0.4452,-0.3247,0.2273,0.1733
5.800,-0.4217,-0.2444,0.2123,0.1747
5.810,-0.3772,-0.1419,0.2057,0.2265
5.820,-0.3831,-0.0589,0.2636,0.2386
5.830,-0.4251,0.0174,0.2393,0.2585
5.840,-0.4167,0.0835,0.2785,0.2810
5.850,-0.4125,0.1163,0.2950,0.3469
5.860,-0.4329,0.1623,0.3305,0.4166
5.870,-0.3706,0.1517,0.2896,0.4290
5.880,-0.3942,0.1266,0.2800,0.4775
5.890,-0.3657,0.1139,0.3164,0.4967
5.900,-0.3255,0.0433,0.3099,0.5344
5.910,-0.3075,0.0333,0.3212,0.5933
5.920,-0.3457,-0.0098,0.3169,0.6386
5.930,-0.2599,0.0200,0.3072,0.6534
5.940,-0.2504,-0.0144,0.2902,0.6704
5.950,-0.2099,-0.0001,0.3009,0.6712
5.960,-0.1602,0.0542,0.3011,0.7208
5.970,-0.1390,0.1260,0.2792,0.7880
5.980,-0.1152,0.1723,0.2483,0.7463
5.990,-0.0597,0.2493,0.2736,0.7483
6.000,0.0122,0.3169,0.2354,0.8019
6.010,0.0531,0.4372,0.2403,0.7866
6.020,0.0996,0.5389,0.1899,0.7684
6.030,0.1416,0.5923,0.2035,0.7861
6.040,0.1587,0.5999,0.1985,0.7456
6.050,0.1951,0.6576,0.1441,0.7471
6.060,0.2582,0.6723,0.1424,0.7052
6.070,0.2919,0.6081,0.0863,0.6777
6.080,0.2905,0.6086,0.0996,0.6298
6.090,0.3268,0.5896,0.0654,0.6011
6.100,0.3385,0.5638,0.0518,0.6031
6.110,0.3570,0.4559,0.0081,0.5455
6.120,0.3976,0.4681,0.0023,0.4950
6.130,0.3840,0.4056,-0.0346,0.4508
6.140,0.3981,0.3901,-0.0370,0.4098
6.150,0.3716,0.4606,-0.0938,0.4091
6.160,0.4067,0.3832,-0.0642,0.3678
6.170,0.4039,0.4714,-0.1366,0.3270
6.180,0.3969,0.4542,-0.1366,0.3163
6.190,0.4108,0.5513,-0.1453,0.2867
6.200,0.4066,0.6237,-0.1961,0.2842
6.210,0.4136,0.6742,-0.1641,0.1912
6.220,0.4217,0.7028,-0.1838,0.2126
6.230,0.4907,0.7193,-0.2271,0.2015
6.240,0.4595,0.7603,-0.2578,0.1659
6.250,0.4678,0.7432,-0.2883,0.2017
6.260,0.4825,0.7743,-0.3010,0.2107
6.270,0.5136,0.7083,-0.3003,0.2077
6.280,0.5497,0.6501,-0.2759,0.2152
6.290,0.5937,0.5886,-0.3033,0.2043
6.300,0.5599,0.5187,-0.3096,0.2619
6.310,0.6054,0.4298,-0.3211,0.2858
6.320,0.6462,0.3967,-0.3241,0.3292
6.330,0.6612,0.2870,-0.3272,0.3619
6.340,0.7223,0.2506,-0.3039,0.3474
6.350,0.7718,0.2447,-0.3058,0.4036
6.360,0.7850,0.2010,-0.3038,0.4292
6.370,0.7910,0.2001,-0.2783,0.4689
6.380,0.8123,0.2172,-0.3143,0.5434
6.390,0.8505,0.2778,-0.2847,0.5776
6.400,0.8589,0.3255,-0.2626,0.5830
6.410,0.8569,0.3332,-0.2446,0.6475
6.420,0.9055,0.3620,-0.2101,0.5950
6.430,0.8682,0.3815,-0.2007,0.6870
6.440,0.8752,0.3673,-0.2173,0.7425
6.450,0.8935,0.3836,-0.1828,0.7163
6.460,0.8732,0.3179,-0.1662,0.7451
6.470,0.8374,0.2429,-0.1482,0.7322
6.480,0.8472,0.2030,-0.1377,0.7333
6.490,0.8262,0.1052,-0.1002,0.7484
6.500,0.7616,0.0427,-0.0826,0.7856
6.510,0.7795,-0.0752,-0.0811,0.7623
6.520,0.7345,-0.1911,-0.0467,0.7259
6.530,0.7336,-0.2577,-0.0331,0.7456
6.540,0.7250,-0.3184,0.0541,0.7444
6.550,0.7317,-0.3475,0.0548,0.7229
6.560,0.6750,-0.3740,0.1181,0.6730
6.570,0.6936,-0.3649,0.0990,0.6315
6.580,0.6550,-0.3219,0.1084,0.5688
6.590,0.6695,-0.3200,0.1401,0.5892
6.600,0.6726,-0.2798,0.1524,0.5221
6.610,0.6488,-0.2631,0.1396,0.5217
6.620,0.6883,-0.2035,0.1733,0.4550
6.630,0.6617,-0.1739,0.2137,0.4600
6.640,0.6563,-0.1960,0.1946,0.3566
6.650,0.6788,-0.2112,0.2249,0.3148
6.660,0.6924,-0.2417,0.2675,0.3184
6.670,0.6686,-0.2772,0.2499,0.3019
6.680,0.6997,-0.3590,0.2648,0.2075
6.690,0.7297,-0.3807,0.2479,0.2018
6.700,0.7038,-0.5139,0.3148,0.2044
6.710,0.7001,-0.5382,0.2974,0.1510
6.720,0.7064,-0.6649,0.3304,0.1487
6.730,0.6860,-0.7112,0.2861,0.1264
6.740,0.6555,-0.7477,0.2951,0.1219
6.750,0.6865,-0.7522,0.3024,0.0903
6.760,0.6399,-0.7675,0.3123,0.0918
6.770,0.6027,-0.7428,0.3257,0.1439
6.780,0.6102,-0.7279,0.3210,0.0973
6.790,0.5478,-0.6484,0.2578,0.1424
6.800,0.5279,-0.5902,0.2600,0.1595
6.810,0.5025,-0.5452,0.2848,0.1093
6.820,0.4608,-0.4844,0.2379,0.1894
6.830,0.4235,-0.4513,0.2379,0.2114
6.840,0.3807,-0.3806,0.2162,0.2674
6.850,0.3062,-0.3849,0.1750,0.2732
6.860,0.3069,-0.3543,0.1931,0.2890
6.870,0.2745,-0.4149,0.1757,0.3553
6.880,0.2393,-0.4857,0.1554,0.3698
6.890,0.1620,-0.5289,0.1328,0.3938
6.900,0.1376,-0.5492,0.1062,0.4353
6.910,0.1555,-0.5957,0.1293,0.4903
6.920,0.1185,-0.6510,0.0637,0.4754
6.930,0.0860,-0.6662,0.0560,0.5256
6.940,0.0628,-0.6833,0.0050,0.5334
6.950,0.0586,-0.6710,0.0004,0.5788
6.960,0.0416,-0.6679,-0.0228,0.5593
6.970,0.0206,-0.5816,-0.0337,0.6211
6.980,0.0034,-0.5294,-0.0548,0.6138
6.990,-0.0142,-0.4313,-0.0750,0.5936
7.000,-0.0056,-0.3449,-0.1013,0.6019
7.010,-0.0210,-0.3076,-0.1325,0.5810
7.020,-0.0043,-0.2072,-0.1380,0.5824
7.030,-0.0365,-0.1026,-0.1768,0.5434
7.040,-0.0268,-0.0664,-0.2063,0.5485
7.050,-0.0444,-0.0439,-0.2404,0.5191
7.060,-0.0574,-0.0080,-0.1938,0.4315
7.070,-0.0523,0.0172,-0.2557,0.4687
7.080,-0.1154,-0.0461,-0.2514,0.4491
7.090,-0.1167,-0.0506,-0.2436,0.3616
7.100,-0.1222,-0.0522,-0.2632,0.3178
7.110,-0.1619,-0.1096,-0.2678,0.3143
7.120,-0.2087,-0.1592,-0.2581,0.2542
7.130,-0.2475,-0.1429,-0.2873,0.2203
7.140,-0.2885,-0.1570,-0.3085,0.1521
7.150,-0.3381,-0.1134,-0.3065,0.1180
7.160,-0.3749,-0.0829,-0.2874,0.1189
7.170,-0.4414,-0.0401,-0.2878,0.0070
7.180,-0.4187,0.0357,-0.3123,0.0239
7.190,-0.5362,0.1269,-0.3117,-0.0291
7.200,-0.5215,0.2288,-0.2775,-0.0169
7.210,-0.5620,0.2958,-0.2534,-0.0860
7.220,-0.5860,0.3070,-0.2595,-0.1081
7.230,-0.6307,0.4435,-0.2396,-0.1650
7.240,-0.5829,0.5340,-0.2380,-0.0992
7.250,-0.6602,0.5279,-0.2111,-0.1782
7.260,-0.6694,0.5841,-0.2059,-0.1781
7.270,-0.6890,0.5526,-0.2152,-0.1943
7.280,-0.7246,0.5230,-0.1605,-0.0874
7.290,-0.6879,0.4828,-0.1730,-0.1108
7.300,-0.6937,0.4647,-0.1405,-0.0944
7.310,-0.6595,0.4142,-0.1220,-0.0904
7.320,-0.7096,0.3322,-0.0945,-0.0938
7.330,-0.6685,0.3519,-0.0530,-0.0719
7.340,-0.6659,0.3025,-0.0424,-0.0326
7.350,-0.6632,0.3321,-0.0253,0.0110
7.360,-0.6680,0.3704,0.0171,0.0201
7.370,-0.6424,0.3940,0.0300,0.1093
7.380,-0.6827,0.4120,0.0316,0.0801
7.390,-0.6756,0.5125,0.0399,0.1537
7.400,-0.6432,0.6109,0.1187,0.1400
7.410,-0.7190,0.6953,0.0990,0.1830
7.420,-0.7111,0.6874,0.1287,0.2081
7.430,-0.7269,0.7422,0.1561,0.2607
7.440,-0.6911,0.8469,0.1752,0.2926
7.450,-0.6826,0.8159,0.1465,0.2421
7.460,-0.7401,0.7924,0.1909,0.2955
7.470,-0.7433,0.7647,0.2271,0.2979
7.480,-0.7674,0.6532,0.2401,0.2877
7.490,-0.7990,0.6605,0.2550,0.3175
7.500,-0.7809,0.5513,0.2448,0.2890
7.510,-0.7837,0.5190,0.2557,0.3082
7.520,-0.8277,0.4326,0.2797,0.2950
7.530,-0.8529,0.3532,0.2857,0.2548
7.540,-0.8851,0.3207,0.2802,0.2383
7.550,-0.8598,0.3068,0.2992,0.2038
7.560,-0.8654,0.3125,0.3049,0.2098
7.570,-0.8832,0.2833,0.2937,0.1635
7.580,-0.8742,0.3469,0.2608,0.0939
7.590,-0.8567,0.3918,0.2785,0.0786
7.600,-0.8702,0.3938,0.2916,0.0344
7.610,-0.8324,0.4711,0.3188,0.0063
7.620,-0.8281,0.5078,0.2493,-0.0543
7.630,-0.7769,0.5227,0.2870,-0.0620
7.640,-0.7869,0.5284,0.2589,-0.1214
7.650,-0.7414,0.5121,0.2805,-0.1738
7.660,-0.7178,0.4527,0.2231,-0.2068
7.670,-0.6561,0.3995,0.1868,-0.2794
7.680,-0.6419,0.3134,0.1687,-0.3123
7.690,-0.6599,0.2546,0.1835,-0.3357
7.700,-0.5625,0.1393,0.1311,-0.3676
7.710,-0.5498,0.0377,0.1483,-0.4003
7.720,-0.5314,-0.0313,0.1896,-0.4207
7.730,-0.5034,-0.1028,0.0635,-0.4055
7.740,-0.5481,-0.1244,0.0692,-0.4733
7.750,-0.4679,-0.1476,0.0809,-0.4583
7.760,-0.4648,-0.1989,0.0455,-0.4438
7.770,-0.4753,-0.2030,0.0373,-0.4842
7.780,-0.4462,-0.2022,-0.0008,-0.4455
7.790,-0.4461,-0.1910,0.0291,-0.4579
7.800,-0.4200,-0.1445,-0.0407,-0.4026
7.810,-0.4185,-0.0912,-0.0740,-0.3931
7.820,-0.4081,-0.0847,-0.0801,-0.3759
7.830,-0.4248,-0.0846,-0.0586,-0.3521
7.840,-0.4052,-0.0515,-0.1209,-0.3799
7.850,-0.3909,-0.0840,-0.1324,-0.3211
7.860,-0.3932,-0.0948,-0.1613,-0.2834
7.870,-0.3742,-0.1794,-0.1549,-0.2465
7.880,-0.3643,-0.2545,-0.2182,-0.1966
7.890,-0.3534,-0.3072,-0.1943,-0.2085
7.900,-0.3399,-0.4446,-0.2133,-0.1699
7.910,-0.3131,-0.4735,-0.2479,-0.1191
7.920,-0.2743,-0.5976,-0.2362,-0.0887
7.930,-0.2524,-0.6613,-0.2596,-0.0439
7.940,-0.2132,-0.6904,-0.2743,-0.0071
7.950,-0.2344,-0.7029,-0.2728,-0.0217
7.960,-0.1874,-0.6888,-0.2645,0.0260
7.970,-0.1447,-0.7039,-0.2647,0.0368
7.980,-0.0872,-0.6938,-0.2938,0.0262
7.990,-0.0303,-0.5971,-0.2520,0.0002
8.000,-0.0181,-0.5920,-0.2924,0.0265
8.010,0.0784,-0.5108,-0.2875,-0.0040
8.020,0.1116,-0.4822,-0.2861,-0.0149
8.030,0.1283,-0.3926,-0.2964,0.0191
8.040,0.1556,-0.4213,-0.2847,-0.0380
8.050,0.2058,-0.3758,-0.2794,-0.1095
8.060,0.2330,-0.4040,-0.2823,-0.1070
8.070,0.2821,-0.4542,-0.2579,-0.1590
8.080,0.2959,-0.4717,-0.1737,-0.1490
8.090,0.2972,-0.5643,-0.2167,-0.1785
8.100,0.3555,-0.6015,-0.1791,-0.2220
8.110,0.3879,-0.6681,-0.1740,-0.3162
8.120,0.3554,-0.7206,-0.1705,-0.3612
8.130,0.3970,-0.7306,-0.1641,-0.3649
8.140,0.4194,-0.7415,-0.1393,-0.4220
8.150,0.3920,-0.7605,-0.1419,-0.4648
8.160,0.4228,-0.7401,-0.1258,-0.4983
8.170,0.4230,-0.7151,-0.0624,-0.5255
8.180,0.4145,-0.6095,-0.0327,-0.6000
8.190,0.4194,-0.5202,-0.0277,-0.5925
8.200,0.3912,-0.4416,-0.0139,-0.5950
8.210,0.4098,-0.3728,0.0095,-0.6146
8.220,0.3861,-0.3026,0.0002,-0.6962
8.230,0.4739,-0.2259,0.0228,-0.6877
8.240,0.4370,-0.1816,0.1210,-0.6853
8.250,0.4744,-0.1493,0.0826,-0.6905
8.260,0.5034,-0.1570,0.1114,-0.6768
8.270,0.5113,-0.1704,0.1349,-0.7115
8.280,0.5307,-0.1672,0.1567,-0.6608
8.290,0.5759,-0.1649,0.1451,-0.6794
8.300,0.6119,-0.2142,0.1818,-0.6800
8.310,0.6383,-0.2666,0.2235,-0.6411
8.320,0.6482,-0.2871,0.2079,-0.5860
8.330,0.6933,-0.2766,0.2267,-0.6035
8.340,0.7072,-0.3208,0.2621,-0.5486
8.350,0.7334,-0.2900,0.2660,-0.5459
8.360,0.7639,-0.2127,0.2520,-0.5077
8.370,0.8480,-0.2279,0.2502,-0.4270
8.380,0.8127,-0.1010,0.3216,-0.4424
8.390,0.8285,-0.0169,0.2815,-0.4040
8.400,0.8533,0.0402,0.2945,-0.3430
8.410,0.8642,0.1540,0.2967,-0.3381
8.420,0.8685,0.2425,0.3141,-0.2979
8.430,0.8753,0.3141,0.2743,-0.2882
8.440,0.8579,0.3919,0.2663,-0.2420
8.450,0.8615,0.3864,0.2625,-0.1942
8.460,0.8539,0.4176,0.2558,-0.2110
8.470,0.8546,0.4217,0.2535,-0.2003
8.480,0.8424,0.4186,0.2493,-0.1683
8.490,0.8164,0.4068,0.2427,-0.1462
8.500,0.7984,0.3512,0.2067,-0.1752
8.510,0.7972,0.3009,0.2359,-0.1793
8.520,0.7933,0.2547,0.1851,-0.1986
8.530,0.7631,0.2665,0.1725,-0.2112
8.540,0.7247,0.2610,0.1733,-0.2210
8.550,0.7003,0.2589,0.1408,-0.2365
8.560,0.6863,0.3204,0.1065,-0.2369
8.570,0.7117,0.3507,0.1367,-0.2849
8.580,0.6687,0.3821,0.0655,-0.3111
8.590,0.6394,0.4351,0.0888,-0.3419
8.600,0.6740,0.5577,0.0525,-0.4022
8.610,0.6357,0.6392,0.0247,-0.4636
8.620,0.6696,0.6711,-0.0079,-0.4811
8.630,0.6815,0.7303,-0.0500,-0.4997
8.640,0.6854,0.7426,-0.0399,-0.5337
8.650,0.6789,0.7915,-0.0842,-0.6238
8.660,0.6989,0.7815,-0.0808,-0.6292
8.670,0.6897,0.7619,-0.1106,-0.6409
8.680,0.6919,0.6879,-0.1257,-0.7154
8.690,0.6536,0.6399,-0.1559,-0.7332
8.700,0.6753,0.5948,-0.1405,-0.7251
8.710,0.7052,0.5537,-0.1903,-0.7799
8.720,0.7144,0.4541,-0.1905,-0.7791
8.730,0.6858,0.4171,-0.1890,-0.8222
8.740,0.6868,0.3854,-0.2400,-0.7968
8.750,0.6720,0.3720,-0.2323,-0.7717
8.760,0.6338,0.3817,-0.2827,-0.7885
8.770,0.5847,0.4033,-0.2667,-0.7871
8.780,0.5653,0.4230,-0.2485,-0.7662
8.790,0.5629,0.4643,-0.2484,-0.7475
8.800,0.5165,0.4995,-0.2896,-0.7424
8.810,0.4690,0.5133,-0.2836,-0.7122
8.820,0.4573,0.6162,-0.3067,-0.6996
8.830,0.3847,0.6248,-0.2829,-0.6678
8.840,0.3737,0.6141,-0.2997,-0.5929
8.850,0.3485,0.6132,-0.3069,-0.5930
8.860,0.3039,0.5883,-0.2511,-0.5269
8.870,0.2523,0.5239,-0.2749,-0.5214
8.880,0.2355,0.4564,-0.2909,-0.4652
8.890,0.1814,0.3748,-0.2873,-0.4127
8.900,0.1660,0.2737,-0.2343,-0.4201
8.910,0.0968,0.1661,-0.2098,-0.3446
8.920,0.0930,0.1239,-0.1770,-0.3430
8.930,0.0540,0.0555,-0.1867,-0.3020
8.940,0.0309,-0.0192,-0.1684,-0.2528
8.950,0.0108,-0.0670,-0.1853,-0.2421
8.960,0.0759,-0.0678,-0.1468,-0.2357
8.970,0.0734,-0.0753,-0.1400,-0.1990
8.980,-0.0131,-0.0327,-0.1108,-0.2055
8.990,-0.0055,-0.0611,-0.1021,-0.2253
9.000,-0.0090,-0.0014,-0.0826,-0.1872
9.010,-0.0232,0.0648,-0.0215,-0.1793
9.020,0.0095,0.0597,-0.0355,-0.1975
9.030,-0.0078,0.0924,-0.0343,-0.1872
9.040,-0.0422,0.0607,0.0120,-0.2426
9.050,-0.0529,0.0968,0.0422,-0.2449
9.060,-0.0484,0.0219,0.0477,-0.2556
9.070,-0.0776,-0.0488,0.0711,-0.2541
9.080,-0.0828,-0.1354,0.0851,-0.2647
9.090,-0.0881,-0.1854,0.1461,-0.3032
9.100,-0.1547,-0.3215,0.1314,-0.3854
9.110,-0.1806,-0.3347,0.1555,-0.4092
9.120,-0.2408,-0.4901,0.1295,-0.3955
9.130,-0.2369,-0.5224,0.1807,-0.4639
9.140,-0.2927,-0.5441,0.2067,-0.5370
9.150,-0.3111,-0.6431,0.2047,-0.5586
9.160,-0.3721,-0.6416,0.1980,-0.5838
9.170,-0.3972,-0.6124,0.2503,-0.5655
9.180,-0.4488,-0.5726,0.2276,-0.6217
9.190,-0.5152,-0.5356,0.2738,-0.6249
9.200,-0.5296,-0.4841,0.2599,-0.6761
9.210,-0.5532,-0.4415,0.3126,-0.6671
9.220,-0.6164,-0.4344,0.2467,-0.6927
9.230,-0.6440,-0.3566,0.2695,-0.6895
9.240,-0.6428,-0.3604,0.2556,-0.7065
9.250,-0.6742,-0.3700,0.2783,-0.6909
9.260,-0.6907,-0.3703,0.2803,-0.6656
9.270,-0.7593,-0.4356,0.2953,-0.7380
9.280,-0.6712,-0.4714,0.2241,-0.6576
9.290,-0.7261,-0.5516,0.2875,-0.6599
9.300,-0.7252,-0.5581,0.2687,-0.6347
9.310,-0.7200,-0.6657,0.2721,-0.6196
9.320,-0.7258,-0.6919,0.2240,-0.5663
9.330,-0.6844,-0.7680,0.1690,-0.5380
9.340,-0.6637,-0.7422,0.2017,-0.4971
9.350,-0.6546,-0.7790,0.1954,-0.4968
9.360,-0.6840,-0.7708,0.1435,-0.4237
9.370,-0.6363,-0.7444,0.1285,-0.4123
9.380,-0.6670,-0.6977,0.1223,-0.3279
9.390,-0.6594,-0.6165,0.1284,-0.3152
9.400,-0.6785,-0.5530,0.1014,-0.2298
9.410,-0.6836,-0.4871,0.1127,-0.2068
9.420,-0.7030,-0.4075,0.0382,-0.1950
9.430,-0.7106,-0.3572,0.0838,-0.1169
9.440,-0.6677,-0.2740,0.0194,-0.0968
9.450,-0.7072,-0.2890,-0.0218,-0.0580
9.460,-0.7496,-0.2540,-0.0061,-0.0359
9.470,-0.7355,-0.2898,-0.0289,-0.0328
9.480,-0.7812,-0.3281,-0.0510,-0.0444
9.490,-0.8150,-0.2864,-0.1039,-0.0097
9.500,-0.7986,-0.3581,-0.1197,-0.0081
9.510,-0.8022,-0.4023,-0.1187,-0.0344
9.520,-0.8467,-0.4099,-0.1510,-0.0121
9.530,-0.8425,-0.4331,-0.1471,-0.0108
9.540,-0.8472,-0.4140,-0.1469,-0.0416
9.550,-0.8125,-0.4553,-0.2103,-0.0191
9.560,-0.8782,-0.3836,-0.1740,-0.0253
9.570,-0.8955,-0.3323,-0.1934,-0.0449
9.580,-0.8522,-0.2440,-0.2115,-0.1013
9.590,-0.8938,-0.1667,-0.2455,-0.0937
9.600,-0.8734,-0.0912,-0.2545,-0.1288
9.610,-0.8253,0.0086,-0.2481,-0.1468
9.620,-0.8561,0.1089,-0.2389,-0.1867
9.630,-0.7819,0.1529,-0.2764,-0.2298
9.640,-0.7838,0.2230,-0.2993,-0.2986
9.650,-0.7368,0.2582,-0.2865,-0.3094
9.660,-0.7076,0.2816,-0.2683,-0.3332
9.670,-0.6873,0.2878,-0.2885,-0.3722
9.680,-0.6873,0.2498,-0.2919,-0.3949
9.690,-0.5965,0.2461,-0.2611,-0.4274
9.700,-0.5827,0.2469,-0.2603,-0.4433
9.710,-0.5825,0.1843,-0.2703,-0.4268
9.720,-0.5522,0.1175,-0.2334,-0.4771
9.730,-0.4950,0.1537,-0.2450,-0.4528
9.740,-0.4571,0.1212,-0.1900,-0.4647
9.750,-0.4844,0.1477,-0.2051,-0.4318
9.760,-0.4317,0.1871,-0.1829,-0.4425
9.770,-0.4202,0.2211,-0.2029,-0.4289
9.780,-0.3717,0.3141,-0.1796,-0.3875
9.790,-0.4547,0.3699,-0.1410,-0.4068
9.800,-0.4233,0.4534,-0.1423,-0.3827
9.810,-0.4288,0.5064,-0.1326,-0.3390
9.820,-0.3837,0.5979,-0.1187,-0.2713
9.830,-0.4238,0.6738,-0.0938,-0.2811
9.840,-0.3902,0.7248,-0.0299,-0.2142
9.850,-0.3910,0.7517,-0.0558,-0.1622
9.860,-0.3781,0.7518,-0.0030,-0.1733
9.870,-0.4041,0.7274,0.0082,-0.0887
9.880,-0.3694,0.6865,0.0508,-0.0493
9.890,-0.3437,0.6666,0.0710,-0.0063
9.900,-0.3278,0.5930,0.0870,0.0757
9.910,-0.3433,0.5162,0.1167,0.0750
9.920,-0.3074,0.4654,0.1227,0.1218
9.930,-0.2312,0.4356,0.1403,0.1804
9.940,-0.2691,0.3887,0.1454,0.1696
9.950,-0.2145,0.3861,0.1538,0.1932
9.960,-0.1943,0.4146,0.1752,0.2573
9.970,-0.1184,0.4400,0.2027,0.2418
9.980,-0.0970,0.4760,0.2202,0.2909
9.990,-0.0481,0.5159,0.2192,0.2682
10.000,0.0170,0.5886,0.2442,0.3199
10.010,0.0638,0.5877,0.2403,0.2753
10.020,0.0680,0.6674,0.2683,0.3098
10.030,0.1335,0.7376,0.2569,0.2788
10.040,0.1408,0.6990,0.2603,0.2572
10.050,0.2148,0.7173,0.2482,0.2762
10.060,0.2507,0.6722,0.2803,0.2420
10.070,0.2831,0.6679,0.2736,0.2097
10.080,0.3005,0.5773,0.2499,0.1857
10.090,0.3148,0.5172,0.2820,0.2082
10.100,0.3414,0.4562,0.2457,0.1642
10.110,0.3538,0.3627,0.2587,0.1045
10.120,0.3764,0.2315,0.2347,0.1125
10.130,0.3811,0.2026,0.2272,0.0884
10.140,0.3853,0.0929,0.2180,0.0033
10.150,0.3648,0.1067,0.2331,0.0128
10.160,0.3832,0.0903,0.1850,-0.0375
10.170,0.3978,0.0694,0.2038,-0.0552
10.180,0.4132,0.1033,0.2072,-0.0887
10.190,0.4201,0.1301,0.1781,-0.0978
10.200,0.3683,0.1958,0.1392,-0.1343
10.210,0.4110,0.1637,0.1758,-0.1449
10.220,0.4118,0.1995,0.1321,-0.1145
10.230,0.4415,0.2150,0.1317,-0.1424
10.240,0.4350,0.2274,0.0892,-0.1444
10.250,0.4657,0.2090,0.1046,-0.0888
10.260,0.4884,0.1502,0.0268,-0.1209
10.270,0.4746,0.1064,0.0359,-0.1205
10.280,0.5239,0.0726,0.0240,-0.1160
10.290,0.5749,-0.0534,-0.0222,-0.0928
10.300,0.6121,-0.1522,-0.0332,-0.0382
10.310,0.6252,-0.2271,-0.0648,0.0178
10.320,0.6670,-0.3637,-0.0448,-0.0213
10.330,0.6549,-0.4027,-0.0647,0.0353
10.340,0.7178,-0.4782,-0.0868,0.0741
10.350,0.7179,-0.4751,-0.1163,0.1219
10.360,0.7979,-0.4864,-0.1132,0.1612
10.370,0.8001,-0.4779,-0.1363,0.1987
10.380,0.8586,-0.4732,-0.1747,0.2575
10.390,0.8232,-0.4764,-0.1481,0.3129
10.400,0.8375,-0.4018,-0.1900,0.3238
10.410,0.8961,-0.3743,-0.1947,0.3615
10.420,0.8848,-0.2984,-0.2159,0.4028
10.430,0.8820,-0.2902,-0.2435,0.4405
10.440,0.9116,-0.2667,-0.2564,0.4549
10.450,0.8454,-0.3243,-0.2557,0.5091
10.460,0.8345,-0.3246,-0.3135,0.5389
10.470,0.8822,-0.3949,-0.3170,0.5607
10.480,0.8492,-0.4363,-0.2573,0.6000
10.490,0.8521,-0.4837,-0.2876,0.5898
10.500,0.7800,-0.5683,-0.2672,0.5825
10.510,0.8115,-0.6433,-0.2900,0.6042
10.520,0.7753,-0.7010,-0.2724,0.5859
10.530,0.7311,-0.7625,-0.2660,0.5834
10.540,0.6981,-0.7804,-0.2613,0.5943
10.550,0.7169,-0.7681,-0.2652,0.5896
10.560,0.6930,-0.7776,-0.2110,0.5614
10.570,0.6851,-0.7525,-0.2203,0.5341
10.580,0.6572,-0.7078,-0.1761,0.5339
10.590,0.6904,-0.6280,-0.1836,0.4865
10.600,0.7046,-0.5920,-0.2120,0.4316
10.610,0.6688,-0.5396,-0.1893,0.3932
10.620,0.6422,-0.4417,-0.1154,0.3837
10.630,0.6426,-0.4026,-0.1500,0.3425
10.640,0.6592,-0.3483,-0.1014,0.2975
10.650,0.6920,-0.3452,-0.0629,0.2337
10.660,0.6968,-0.3182,-0.0862,0.2310
10.670,0.6984,-0.3754,-0.0706,0.1917
10.680,0.6968,-0.4273,-0.0526,0.1971
10.690,0.6967,-0.4324,-0.0030,0.1941
10.700,0.6912,-0.4436,-0.0364,0.1256
10.710,0.7157,-0.5049,0.0206,0.1436
10.720,0.6968,-0.5299,0.0280,0.1017
10.730,0.6556,-0.5542,0.0397,0.1266
10.740,0.7016,-0.5778,0.0777,0.1071
